region,birthplace,vote_2016,education,age_cat,birth_year,gender,household_income,hispanic,race,party_id_3,party_id_7,Z_defund_order,protest_support_blm,protest_support_brut,protest_support_dfnd,protest_support,protest_support_n,protest_support_blm_n,protest_support_blm_binary,protest_support_brut_n,protest_support_brut_binary,protest_support_dfnd_n,protest_support_dfnd_binary,protest_support_binary,gss_welfare,gss_ss,gss_enviro,gss_health,gss_education,gss_childcare,gss_science,gss_atp,gss_welfare_n,gss_ss_n,gss_enviro_n,gss_health_n,gss_education_n,gss_childcare_n,gss_science_n,gss_atp_n,police_spend,police_spend_n,police_matrix_violent_crime,police_matrix_property_crime,police_matrix_vice_crime,police_matrix_vehicle_stops,police_matrix_civil_order,police_matrix_prevent_crime,police_matrix_social_service,police_matrix_community_engage,survey
Midwest,The United States,Clinton,High school diploma,18-23,2001,Female,"$19,999 or less",Mexican,Other,Republicans,Strong Republican,Defund Last,Oppose,Somewhat oppose,Neither support nor oppose,NA,NA,2,0,3,0,4,0,NA,Don't know,Don't know,Don't know,Too much,About right,Don't know,Too much,Too much,NA,NA,NA,-1,0,NA,NA,-1,Don't know,NA,Social Services,Police,Police,Social Services,Social Services,Social Services,Social Services,Social Services,YCLS July 13
Northeast,The United States,Trump,High school diploma,30-39,1988,Female,"$19,999 or less",Mexican,Other,Republicans,Weak Republican,Defund Last,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too little,About right,About right,About right,About right,About right,About right,Too little,1,0,0,0,0,0,0,1,About right,0,Both,Both,Both,Both,Both,Both,Both,Both,YCLS July 13
South,The United States,Trump,Graduate degree,30-39,1985,Male,"$200,000 and above",Not Hispanic,White,Republicans,Strong Republican,Defund First,Strongly support,Support,Strongly support,NA,NA,7,1,6,1,7,1,NA,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,-1,1,1,1,1,1,1,1,Too little,1,Social Services,Social Services,Police,Social Services,Both,Both,Social Services,Social Services,YCLS July 13
Northeast,The United States,No vote,Bachelor's degree,30-39,1980,Female,"$80,000 - $99,999",Not Hispanic,White,Democrats,Weak Democrat,Defund Last,Support,Support,Somewhat support,NA,NA,6,1,6,1,5,1,NA,Too little,About right,Too little,Too little,About right,Too little,Too little,Too little,1,0,1,1,0,1,1,1,Too much,-1,Police,Police,Both,Police,Both,Both,Social Services,Both,YCLS July 13
South,The United States,Clinton,High school diploma,30-39,1987,Male,"$19,999 or less",Not Hispanic,Black,Democrats,Strong Democrat,Defund First,Strongly support,Support,Strongly support,NA,NA,7,1,6,1,7,1,NA,About right,Too much,Too much,About right,About right,About right,Too little,Too little,0,-1,-1,0,0,0,0,1,Too much,-1,Social Services,Social Services,Police,Both,Social Services,Social Services,Police,Police,YCLS July 13
South,The United States,Clinton,Some college,24-29,1991,Female,Unanswered,Not Hispanic,Black,Democrats,Strong Democrat,Defund First,Strongly support,Oppose,Strongly support,NA,NA,7,1,2,0,7,1,NA,Too little,Too little,About right,Too little,Too little,Too little,Too little,About right,1,1,0,1,1,1,1,0,Too much,-1,Police,Police,Police,Police,Police,Police,Social Services,Police,YCLS July 13
Northeast,The United States,Trump,Some college,60-69,1959,Female,Unanswered,Other Hispanic,Other,Democrats,Lean Democrat,Defund Last,Support,Neither support nor oppose,Strongly oppose,NA,NA,6,1,4,0,1,0,NA,Don't know,Too little,Don't know,Too little,Too little,Don't know,Too little,Don't know,NA,1,NA,1,1,NA,NA,NA,Don't know,NA,Police,Police,Police,Police,Police,Police,Both,Both,YCLS July 13
Northeast,The United States,Clinton,Graduate degree,NA,1956,Female,"$65,000 - $79,999",Not Hispanic,White,Democrats,Strong Democrat,Defund Last,Strongly support,Strongly support,Somewhat oppose,NA,NA,7,1,7,1,3,0,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,About right,0,Police,Police,Both,Both,Both,Both,Both,Both,YCLS July 13
South,Another country,No vote,Some college,50-59,2000,Male,"$50,000 - $64,999",Not Hispanic,Other,Republicans,Strong Republican,Defund Last,Strongly oppose,Strongly oppose,Strongly oppose,NA,NA,1,0,1,0,1,0,NA,About right,Too little,Too much,About right,Too much,About right,Too much,About right,0,1,-1,0,-1,0,0,0,Too little,1,Police,Police,Police,Police,Police,Police,Police,Police,YCLS July 13
Northeast,The United States,Trump,Graduate degree,40-49,1979,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too much,Too much,Too much,Too much,Too much,Too much,Too much,Too much,-1,-1,-1,-1,-1,-1,-1,-1,Too much,-1,Both,Both,Both,Both,Both,Both,Both,Both,YCLS July 13
Midwest,The United States,Clinton,Bachelor's degree,40-49,1977,Male,"$50,000 - $64,999",Not Hispanic,White,Democrats,Strong Democrat,Defund Last,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too little,Too little,About right,About right,Too much,Too little,Too much,Too much,1,1,0,0,-1,1,1,-1,Too little,1,Police,Social Services,Social Services,Police,Both,Police,Both,Social Services,YCLS July 13
Northeast,The United States,Trump,Graduate degree,30-39,1980,Male,"$200,000 and above",Not Hispanic,White,Democrats,Strong Democrat,Defund Last,Somewhat support,Neither support nor oppose,Support,NA,NA,5,1,4,0,6,1,NA,About right,About right,About right,About right,About right,About right,About right,About right,0,0,0,0,0,0,0,0,About right,0,Both,Both,Both,Both,Both,Both,Both,Both,YCLS July 13
South,The United States,Trump,Graduate degree,40-49,1979,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Support,Support,Strongly support,NA,NA,6,1,6,1,7,1,NA,About right,About right,About right,About right,Too much,Too much,About right,About right,0,0,0,0,-1,-1,-1,0,About right,0,Both,Social Services,Social Services,Social Services,Social Services,Both,Both,Both,YCLS July 13
Midwest,The United States,Trump,Graduate degree,30-39,1980,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly oppose,Strongly oppose,Strongly oppose,NA,NA,1,0,1,0,1,0,NA,About right,Too much,Too much,Too little,Too little,Too little,Too little,Too much,0,-1,-1,1,1,1,1,-1,Too little,1,Social Services,Social Services,Both,Both,Social Services,Both,Police,Social Services,YCLS July 13
Midwest,The United States,Trump,Some college,NA,1950,Female,"$20,000 - $34,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Strongly oppose,Oppose,Strongly oppose,NA,NA,1,0,2,0,1,0,NA,Too much,Too little,About right,About right,About right,Too much,About right,Too much,-1,1,0,0,0,-1,-1,-1,About right,0,Police,Police,Police,Both,Both,Police,Social Services,Social Services,YCLS July 13
South,The United States,Trump,Graduate degree,30-39,1981,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Somewhat support,Somewhat support,Somewhat support,NA,NA,5,1,5,1,5,1,NA,About right,About right,About right,About right,About right,About right,About right,About right,0,0,0,0,0,0,0,0,About right,0,Social Services,Social Services,Police,Police,Both,Both,Social Services,Social Services,YCLS July 13
South,The United States,Clinton,No high school diploma,18-23,2001,Female,"$19,999 or less",Not Hispanic,Black,Democrats,Lean Democrat,Defund Last,Neither support nor oppose,Somewhat support,Neither support nor oppose,NA,NA,4,0,5,1,4,0,NA,Too much,About right,Too much,About right,About right,Too much,Too much,Too little,-1,0,-1,0,0,-1,-1,1,Too much,-1,Social Services,Social Services,Both,Social Services,Social Services,Social Services,Both,Both,YCLS July 13
Northeast,The United States,Trump,Graduate degree,40-49,1980,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Strongly support,Neither support nor oppose,Somewhat support,NA,NA,7,1,4,0,5,1,NA,About right,About right,Too little,Too much,About right,About right,About right,About right,0,0,1,-1,0,0,0,0,Too much,-1,Social Services,Police,Police,Social Services,Police,Police,Social Services,Social Services,YCLS July 13
Northeast,The United States,Clinton,Graduate degree,30-39,1980,Male,"$125,000 - $199,999",Not Hispanic,White,Democrats,Strong Democrat,Defund Last,Strongly support,Support,Somewhat support,NA,NA,7,1,6,1,5,1,NA,Too little,Too much,About right,Don't know,Too much,Too little,Don't know,About right,1,-1,0,NA,-1,1,1,0,About right,0,Both,Police,Social Services,Both,Social Services,Social Services,Social Services,Police,YCLS July 13
South,The United States,Clinton,High school diploma,50-59,1962,Male,"$19,999 or less",Not Hispanic,White,Democrats,Strong Democrat,Defund First,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,NA,NA,4,0,4,0,4,0,NA,About right,Don't know,Don't know,About right,Too little,Too little,Too little,Too little,0,NA,NA,0,1,1,1,1,Too little,1,Police,Police,Social Services,Social Services,Social Services,Police,Both,Both,YCLS July 13
